fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,free_total_SO2_ratio,acid_ratio,sulphate_alcohol,is_red,quality
0.34285714285714297,0.7540791783137232,0.0,0.05797101449275362,0.30726256983240213,0.10751064121927774,0.10434782608695653,0.7668594941721381,0.8157894736842102,0.36111111111111116,0.14893617021276606,0.3587781275227835,0.07218961554618453,0.24517669531996195,1.0,5
0.3999999999999999,0.9881037508938443,0.0,0.09855072463768116,0.4301675977653631,0.2997391184951256,0.24782608695652172,0.6807757863746815,0.40789473684210575,0.5277777777777779,0.2340425531914896,0.4183863724063575,0.04727394971058893,0.37889207258834773,1.0,5
0.3999999999999999,0.8320873691737636,0.05405405405405406,0.08115942028985507,0.39664804469273734,0.16243306329809143,0.19130434782608696,0.6979925279341757,0.48684210526315796,0.48611111111111116,0.2340425531914896,0.3038002279060936,0.06769214100504875,0.35081184336198673,1.0,5
0.8857142857142857,0.20802184229344092,0.7567567567567568,0.05797101449275362,0.3016759776536312,0.18989427433749828,0.21739130434782608,0.7840762357316322,0.3552631578947367,0.38888888888888884,0.2340425531914896,0.31047611686144133,0.501534254067378,0.2852913085004776,1.0,6
0.34285714285714297,0.702073717740363,0.0,0.052173913043478265,0.3016759776536312,0.13497185225868458,0.13043478260869565,0.7668594941721381,0.8157894736842102,0.36111111111111116,0.14893617021276606,0.3605452761360201,0.08153693759683406,0.24517669531996195,1.0,5
0.41428571428571437,0.6240655268803226,0.08108108108108107,0.04057971014492753,0.2681564245810056,0.16243306329809143,0.21304347826086958,0.6463423032556932,0.5394736842105261,0.2222222222222222,0.14893617021276606,0.2755125659921254,0.11005259724098562,0.15539637058261713,1.0,5
0.3285714285714285,0.6890723525970229,0.0,0.017391304347826084,0.24581005586592175,0.16243306329809143,0.04782608695652174,0.49139162922026003,0.6578947368421058,0.23611111111111105,0.27659574468085113,0.8283342855948426,0.08180899759381416,0.19130850047755493,1.0,7
0.3999999999999999,0.5980627965936425,0.02702702702702703,0.06376811594202898,0.2905027932960893,0.08004943017987091,0.03478260869565218,0.6807757863746815,0.6184210526315792,0.3749999999999999,0.17021276595744705,0.5708357386470194,0.1141611007757628,0.25959885386819487,1.0,7
0.3571428571428572,0.4940518754469221,0.48648648648648646,0.3014492753623188,0.2793296089385474,0.18989427433749828,0.4,0.7668594941721381,0.6052631578947367,0.6944444444444445,0.3829787234042552,0.17028246315448098,0.13679979418452887,0.5446991404011463,1.0,5
0.24285714285714288,0.5980627965936425,0.10810810810810811,0.052173913043478265,0.4245810055865921,0.16243306329809143,0.23913043478260868,0.6033004493569649,0.513157894736842,0.33333333333333337,0.10638297872340408,0.24731194294951445,0.08649151282407286,0.21690544412607454,1.0,5
